INFO:root:[{'id': 0, 'score': 0.99962425, 'class': 1, 'label': 'metal', 'bbox': [0.28038245, 0.23630951, 0.86681634, 0.6147238], 'time': '2018-02-20T10:37:53:805479'}]
INFO:root:[{'id': 0, 'score': 0.9999043, 'class': 1, 'label': 'metal', 'bbox': [0.28894168, 0.240541, 0.86525744, 0.6158928], 'time': '2018-02-20T10:37:53:932629'}]
INFO:root:[{'id': 0, 'score': 0.99997175, 'class': 1, 'label': 'metal', 'bbox': [0.29445234, 0.24101989, 0.85430527, 0.6263613], 'time': '2018-02-20T10:37:54:057165'}]
INFO:root:[{'id': 0, 'score': 0.9999788, 'class': 1, 'label': 'metal', 'bbox': [0.29826304, 0.24254674, 0.8550054, 0.6239057], 'time': '2018-02-20T10:37:54:182092'}]
INFO:root:[{'id': 0, 'score': 0.9997582, 'class': 1, 'label': 'metal', 'bbox': [0.295202, 0.23875591, 0.8614795, 0.6131661], 'time': '2018-02-20T10:37:54:305658'}]
INFO:root:[{'id': 0, 'score': 0.9998254, 'class': 1, 'label': 'metal', 'bbox': [0.2869717, 0.23797324, 0.8595321, 0.6176479], 'time': '2018-02-20T10:37:54:430608'}]
INFO:root:[{'id': 0, 'score': 0.9990061, 'class': 1, 'label': 'metal', 'bbox': [0.27956784, 0.24108747, 0.86341095, 0.62456], 'time': '2018-02-20T10:37:54:554765'}]
INFO:root:[{'id': 0, 'score': 0.99920267, 'class': 1, 'label': 'metal', 'bbox': [0.26900217, 0.24067454, 0.8578069, 0.62443066], 'time': '2018-02-20T10:37:54:679679'}]
INFO:root:[{'id': 0, 'score': 0.99953306, 'class': 1, 'label': 'metal', 'bbox': [0.2720235, 0.23886466, 0.85383385, 0.62625694], 'time': '2018-02-20T10:37:54:805952'}]
INFO:root:[{'id': 0, 'score': 0.9953496, 'class': 1, 'label': 'metal', 'bbox': [0.2613323, 0.24120831, 0.85691845, 0.6307818], 'time': '2018-02-20T10:37:54:931865'}]
INFO:root:[{'id': 0, 'score': 0.9967362, 'class': 1, 'label': 'metal', 'bbox': [0.25428903, 0.23779124, 0.8548542, 0.6311992], 'time': '2018-02-20T10:37:55:056850'}]
INFO:root:[{'id': 0, 'score': 0.9889059, 'class': 1, 'label': 'metal', 'bbox': [0.23985866, 0.23780923, 0.8551457, 0.628844], 'time': '2018-02-20T10:37:55:182836'}]
INFO:root:[{'id': 0, 'score': 0.9975013, 'class': 1, 'label': 'metal', 'bbox': [0.24033788, 0.23484506, 0.8523725, 0.629715], 'time': '2018-02-20T10:37:55:308103'}]
INFO:root:[{'id': 0, 'score': 0.9979311, 'class': 1, 'label': 'metal', 'bbox': [0.2414299, 0.23442416, 0.8459736, 0.632758], 'time': '2018-02-20T10:37:55:432488'}]
INFO:root:[{'id': 0, 'score': 0.99969304, 'class': 1, 'label': 'metal', 'bbox': [0.24493048, 0.24264188, 0.8495817, 0.64043945], 'time': '2018-02-20T10:37:55:567488'}]
INFO:root:[{'id': 0, 'score': 0.9995921, 'class': 1, 'label': 'metal', 'bbox': [0.24064133, 0.24530867, 0.84876454, 0.6452364], 'time': '2018-02-20T10:37:55:696748'}]
INFO:root:[{'id': 0, 'score': 0.9999062, 'class': 1, 'label': 'metal', 'bbox': [0.2542751, 0.23928538, 0.8484013, 0.63035774], 'time': '2018-02-20T10:37:55:823448'}]
INFO:root:[{'id': 0, 'score': 0.99954045, 'class': 1, 'label': 'metal', 'bbox': [0.25806797, 0.23916692, 0.84000754, 0.6316645], 'time': '2018-02-20T10:37:55:957089'}]
INFO:root:[{'id': 0, 'score': 0.9955491, 'class': 1, 'label': 'metal', 'bbox': [0.25552592, 0.23883268, 0.8454647, 0.62702227], 'time': '2018-02-20T10:37:56:083136'}]
INFO:root:[{'id': 0, 'score': 0.99949384, 'class': 1, 'label': 'metal', 'bbox': [0.26339382, 0.23815526, 0.846464, 0.62934375], 'time': '2018-02-20T10:37:56:207944'}]
INFO:root:[{'id': 0, 'score': 0.99962616, 'class': 1, 'label': 'metal', 'bbox': [0.26931867, 0.23758048, 0.85263574, 0.62708056], 'time': '2018-02-20T10:37:56:340826'}]
INFO:root:[{'id': 0, 'score': 0.9994802, 'class': 1, 'label': 'metal', 'bbox': [0.26367542, 0.23607966, 0.8517488, 0.6266483], 'time': '2018-02-20T10:37:56:466645'}]
INFO:root:[{'id': 0, 'score': 0.99939764, 'class': 1, 'label': 'metal', 'bbox': [0.25745276, 0.2385469, 0.85459363, 0.6297466], 'time': '2018-02-20T10:37:56:589751'}]
INFO:root:[{'id': 0, 'score': 0.9988973, 'class': 1, 'label': 'metal', 'bbox': [0.25414374, 0.23739047, 0.855525, 0.6356915], 'time': '2018-02-20T10:37:56:714422'}]
INFO:root:[{'id': 0, 'score': 0.99912864, 'class': 1, 'label': 'metal', 'bbox': [0.2571891, 0.2439506, 0.84778124, 0.6392681], 'time': '2018-02-20T10:37:56:837438'}]
INFO:root:[{'id': 0, 'score': 0.99624974, 'class': 1, 'label': 'metal', 'bbox': [0.250682, 0.24410757, 0.8556416, 0.64023995], 'time': '2018-02-20T10:37:56:963668'}]
INFO:root:[{'id': 0, 'score': 0.9842555, 'class': 1, 'label': 'metal', 'bbox': [0.25816202, 0.25589025, 0.861514, 0.64009744], 'time': '2018-02-20T10:37:57:084942'}]
INFO:root:[{'id': 0, 'score': 0.97286904, 'class': 1, 'label': 'metal', 'bbox': [0.39947757, 0.37924945, 0.9487146, 0.7711648], 'time': '2018-02-20T10:38:00:214760'}]
INFO:root:[{'id': 0, 'score': 0.97292274, 'class': 1, 'label': 'metal', 'bbox': [0.44310394, 0.3631006, 0.9310068, 0.683513], 'time': '2018-02-20T10:38:00:339008'}]
INFO:root:[{'id': 0, 'score': 0.99993074, 'class': 1, 'label': 'metal', 'bbox': [0.3301176, 0.3568077, 0.9077712, 0.69149184], 'time': '2018-02-20T10:38:00:471102'}]
INFO:root:[{'id': 0, 'score': 0.9985649, 'class': 1, 'label': 'metal', 'bbox': [0.2507315, 0.376204, 0.86267483, 0.7055472], 'time': '2018-02-20T10:38:00:598281'}]
INFO:root:[{'id': 0, 'score': 0.99979943, 'class': 1, 'label': 'metal', 'bbox': [0.27905837, 0.37593794, 0.84409213, 0.7207482], 'time': '2018-02-20T10:38:00:724536'}]
INFO:root:[{'id': 0, 'score': 0.9997365, 'class': 1, 'label': 'metal', 'bbox': [0.2703808, 0.3810357, 0.8450349, 0.7160655], 'time': '2018-02-20T10:38:00:850906'}]
INFO:root:[{'id': 0, 'score': 0.9999168, 'class': 1, 'label': 'metal', 'bbox': [0.2852409, 0.38223755, 0.84911156, 0.6999439], 'time': '2018-02-20T10:38:00:974945'}]
INFO:root:[{'id': 0, 'score': 0.99977356, 'class': 1, 'label': 'metal', 'bbox': [0.28698644, 0.38207683, 0.850979, 0.69734895], 'time': '2018-02-20T10:38:01:099779'}]
INFO:root:[{'id': 0, 'score': 0.9997873, 'class': 1, 'label': 'metal', 'bbox': [0.2845233, 0.3712579, 0.8472447, 0.7108524], 'time': '2018-02-20T10:38:01:223710'}]
INFO:root:[{'id': 0, 'score': 0.9997836, 'class': 1, 'label': 'metal', 'bbox': [0.25166106, 0.35748535, 0.84467554, 0.6971889], 'time': '2018-02-20T10:38:01:349022'}]
INFO:root:[{'id': 0, 'score': 0.9997129, 'class': 1, 'label': 'metal', 'bbox': [0.26144534, 0.36202163, 0.8540923, 0.69781846], 'time': '2018-02-20T10:38:01:473981'}]
INFO:root:[{'id': 0, 'score': 0.9993624, 'class': 1, 'label': 'metal', 'bbox': [0.24956432, 0.36084327, 0.8600868, 0.7030091], 'time': '2018-02-20T10:38:01:600058'}]
INFO:root:[{'id': 0, 'score': 0.9991049, 'class': 1, 'label': 'metal', 'bbox': [0.25947872, 0.3598848, 0.8553641, 0.7043151], 'time': '2018-02-20T10:38:01:723203'}]
INFO:root:[{'id': 0, 'score': 0.9983639, 'class': 1, 'label': 'metal', 'bbox': [0.24069962, 0.35671663, 0.8526298, 0.7058177], 'time': '2018-02-20T10:38:01:847512'}]
INFO:root:[{'id': 0, 'score': 0.9985909, 'class': 1, 'label': 'metal', 'bbox': [0.2558266, 0.3588062, 0.85793746, 0.70385915], 'time': '2018-02-20T10:38:01:969502'}]
INFO:root:[{'id': 0, 'score': 0.9993906, 'class': 1, 'label': 'metal', 'bbox': [0.25631967, 0.3591882, 0.85260844, 0.7015331], 'time': '2018-02-20T10:38:02:091944'}]
INFO:root:[{'id': 0, 'score': 0.9993672, 'class': 1, 'label': 'metal', 'bbox': [0.25464997, 0.35881984, 0.8577503, 0.7046604], 'time': '2018-02-20T10:38:02:218496'}]
INFO:root:[{'id': 0, 'score': 0.99856573, 'class': 1, 'label': 'metal', 'bbox': [0.2472595, 0.35793024, 0.8531382, 0.70576686], 'time': '2018-02-20T10:38:02:350145'}]
INFO:root:[{'id': 0, 'score': 0.9990701, 'class': 1, 'label': 'metal', 'bbox': [0.23528257, 0.35771093, 0.85441816, 0.7011999], 'time': '2018-02-20T10:38:02:474358'}]
INFO:root:[{'id': 0, 'score': 0.99941635, 'class': 1, 'label': 'metal', 'bbox': [0.2600564, 0.35992026, 0.8522992, 0.6997347], 'time': '2018-02-20T10:38:02:599844'}]
INFO:root:[{'id': 0, 'score': 0.9994023, 'class': 1, 'label': 'metal', 'bbox': [0.26907775, 0.35745388, 0.8681463, 0.70785946], 'time': '2018-02-20T10:38:02:723076'}]
INFO:root:[{'id': 0, 'score': 0.99935263, 'class': 1, 'label': 'metal', 'bbox': [0.25015184, 0.36096156, 0.85839176, 0.70412815], 'time': '2018-02-20T10:38:02:847519'}]
INFO:root:[{'id': 0, 'score': 0.99942565, 'class': 1, 'label': 'metal', 'bbox': [0.26745754, 0.35534474, 0.8652585, 0.697907], 'time': '2018-02-20T10:38:02:969530'}]
INFO:root:[{'id': 0, 'score': 0.99955255, 'class': 1, 'label': 'metal', 'bbox': [0.24304849, 0.35827404, 0.8595862, 0.7024221], 'time': '2018-02-20T10:38:03:098926'}]
INFO:root:[{'id': 0, 'score': 0.9997695, 'class': 1, 'label': 'metal', 'bbox': [0.24913222, 0.3629563, 0.85485, 0.6958257], 'time': '2018-02-20T10:38:03:225494'}]
INFO:root:[{'id': 0, 'score': 0.99980193, 'class': 1, 'label': 'metal', 'bbox': [0.2595731, 0.3619141, 0.8569243, 0.6906976], 'time': '2018-02-20T10:38:03:350351'}]
INFO:root:[{'id': 0, 'score': 0.9997453, 'class': 1, 'label': 'metal', 'bbox': [0.24891567, 0.36330244, 0.85788333, 0.6948798], 'time': '2018-02-20T10:38:03:474642'}]
INFO:root:[{'id': 0, 'score': 0.9997781, 'class': 1, 'label': 'metal', 'bbox': [0.25723323, 0.36211526, 0.8526405, 0.6931125], 'time': '2018-02-20T10:38:03:604832'}]
INFO:root:[{'id': 0, 'score': 0.9995074, 'class': 1, 'label': 'metal', 'bbox': [0.24778822, 0.3644125, 0.8556483, 0.7034864], 'time': '2018-02-20T10:38:03:735410'}]
INFO:root:[{'id': 0, 'score': 0.99978393, 'class': 1, 'label': 'metal', 'bbox': [0.25168392, 0.36078423, 0.85123897, 0.69661874], 'time': '2018-02-20T10:38:03:867028'}]
